"active fibroblast","fibroblast","m1 macs","m1 ae","m1 de","m2","myoblast","myofibroblast","apop neutrophil","neutrophil","pax7+ ssc","res mac","senescent SSC","tick"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,2.0
7.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,3.0
13.0,25.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,4.0
14.0,25.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,5.0
17.0,25.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,14.0,14.0,0.0,6.0
19.0,25.0,8.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,15.0,14.0,0.0,7.0
19.0,25.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,16.0,14.0,0.0,8.0
20.0,25.0,12.0,0.0,10.0,0.0,0.0,0.0,1.0,9.0,16.0,14.0,0.0,9.0
21.0,25.0,12.0,0.0,12.0,0.0,0.0,0.0,3.0,13.0,20.0,19.0,0.0,10.0
22.0,25.0,14.0,0.0,14.0,0.0,0.0,0.0,5.0,14.0,20.0,26.0,0.0,11.0
23.0,25.0,17.0,0.0,17.0,0.0,0.0,0.0,9.0,12.0,20.0,35.0,0.0,12.0
24.0,26.0,19.0,0.0,19.0,0.0,0.0,0.0,11.0,18.0,20.0,42.0,0.0,13.0
27.0,28.0,19.0,0.0,19.0,0.0,0.0,0.0,13.0,21.0,20.0,38.0,0.0,14.0
27.0,28.0,20.0,0.0,19.0,0.0,0.0,0.0,13.0,25.0,21.0,51.0,0.0,15.0
27.0,28.0,21.0,0.0,21.0,0.0,0.0,0.0,16.0,25.0,21.0,38.0,0.0,16.0
28.0,29.0,24.0,0.0,24.0,0.0,0.0,0.0,21.0,27.0,22.0,39.0,0.0,17.0
31.0,32.0,27.0,0.0,24.0,0.0,0.0,0.0,23.0,18.0,23.0,52.0,0.0,18.0
34.0,34.0,27.0,0.0,27.0,0.0,0.0,0.0,19.0,19.0,23.0,40.0,0.0,19.0
37.0,38.0,29.0,0.0,29.0,0.0,0.0,0.0,23.0,20.0,24.0,39.0,0.0,20.0
37.0,39.0,30.0,0.0,29.0,0.0,0.0,0.0,27.0,22.0,25.0,52.0,0.0,21.0
37.0,39.0,30.0,0.0,30.0,0.0,0.0,0.0,22.0,27.0,26.0,54.0,0.0,22.0
42.0,42.0,31.0,0.0,31.0,0.0,0.0,0.0,21.0,32.0,26.0,54.0,0.0,23.0
42.0,42.0,34.0,0.0,34.0,0.0,0.0,0.0,22.0,31.0,26.0,55.0,0.0,24.0
43.0,43.0,36.0,0.0,34.0,0.0,0.0,0.0,27.0,31.0,28.0,57.0,0.0,25.0
