"apopNeutrophils","neutrophils","totalNeutrophils","m1 macs","m2 macs ","resMacs","m1ae","m1de","resMacs ODE","tick","random_seed"
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1831506905
0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1831506905
0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,1831506905
1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,1831506905
2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1831506905
0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1831506905
3.0,0.0,3.0,0.11111111111111113,0.0,0.8888888888888891,0.0,0.0,8.0,7.0,1831506905
2.0,2.0,4.0,0.22222222222222227,0.0,0.8888888888888891,0.0,0.0,7.0,8.0,1831506905
2.0,5.0,7.0,0.7777777777777778,0.0,1.4444444444444444,0.0,1.0,6.0,9.0,1831506905
1.0,4.0,5.0,1.3333333333333333,0.0,2.0,0.0,2.0,6.0,10.0,1831506905
2.0,6.0,8.0,1.875,0.0,2.0000000000000004,0.0,2.0,5.0,11.0,1831506905
1.0,9.0,10.0,2.0,0.0,1.6666666666666665,0.0,2.0,5.0,12.0,1831506905
5.0,8.0,13.0,2.8,0.0,2.0,0.0,2.0,5.0,13.0,1831506905
5.0,9.0,14.0,3.5,0.0,2.125,0.0,3.0,2.0,14.0,1831506905
5.0,9.0,14.0,4.875,0.0,1.5,1.0,3.0,2.0,15.0,1831506905
6.0,8.0,14.0,5.0,0.0,1.3333333333333333,1.0,3.0,2.0,16.0,1831506905
5.0,5.0,10.0,6.888888888888889,0.0,1.5555555555555556,1.0,4.0,2.0,17.0,1831506905
5.0,4.0,9.0,6.199999999999999,0.0,1.4,1.0,4.0,2.0,18.0,1831506905
5.0,3.0,8.0,7.090909090909091,0.0,1.4545454545454546,1.0,4.0,2.0,19.0,1831506905
5.0,2.0,7.0,9.583333333333332,0.0,1.6666666666666665,1.0,5.0,2.0,20.0,1831506905
4.0,2.0,6.0,9.583333333333332,0.0,1.6666666666666665,1.0,5.0,2.0,21.0,1831506905
2.0,2.0,4.0,9.583333333333332,0.0,1.6666666666666665,1.0,5.0,2.0,22.0,1831506905
1.0,2.0,3.0,9.615384615384615,0.8461538461538461,1.6923076923076923,1.0,5.0,2.0,23.0,1831506905
2.0,1.0,3.0,8.928571428571427,0.7857142857142857,1.5714285714285714,1.0,5.0,2.0,24.0,1831506905
0.0,1.0,1.0,9.666666666666666,2.6,1.7333333333333332,1.0,5.0,2.0,25.0,1831506905
0.0,1.0,1.0,9.666666666666666,2.6,1.7333333333333332,1.0,5.0,2.0,26.0,1831506905
0.0,1.0,1.0,9.6875,3.4999999999999996,1.7499999999999998,1.0,5.0,2.0,27.0,1831506905
0.0,1.0,1.0,9.6875,3.4999999999999996,1.7499999999999998,1.0,5.0,2.0,28.0,1831506905
0.0,1.0,1.0,9.6875,3.4999999999999996,1.7499999999999998,1.0,5.0,2.0,29.0,1831506905
