"total size","ECM","fibers","necrosis","tick"
12804.0,3621.0,9183.0,0.0,1.0
12814.0,3631.0,6406.0,2777.0,2.0
12814.0,3631.0,6406.0,2777.0,3.0
12814.0,3631.0,6406.0,2777.0,4.0
12814.0,3631.0,6406.0,2777.0,5.0
12814.0,3631.0,6406.0,2777.0,6.0
12814.0,3637.0,6406.0,2771.0,7.0
12814.0,3643.0,6406.0,2765.0,8.0
12814.0,3649.0,6406.0,2759.0,9.0
12813.0,3657.0,6406.0,2750.0,10.0
12813.0,3664.0,6406.0,2743.0,11.0
12813.0,3669.0,6406.0,2738.0,12.0
12812.0,3683.0,6406.0,2723.0,13.0
12811.0,3697.0,6406.0,2708.0,14.0
12810.0,3708.0,6406.0,2696.0,15.0
12810.0,3723.0,6406.0,2681.0,16.0
12810.0,3732.0,6406.0,2672.0,17.0
12810.0,3749.0,6406.0,2655.0,18.0
12807.0,3766.0,6406.0,2635.0,19.0
12806.0,3779.0,6406.0,2621.0,20.0
12804.0,3804.0,6404.0,2596.0,21.0
12803.0,3830.0,6393.0,2580.0,22.0
12801.0,3860.0,6393.0,2548.0,23.0
12801.0,3888.0,6391.0,2522.0,24.0
12797.0,3918.0,6391.0,2488.0,25.0
12810.0,3971.0,6391.0,2448.0,26.0
12804.0,4013.0,6390.0,2401.0,27.0
12800.0,4060.0,6388.0,2352.0,28.0
12796.0,4112.0,6368.0,2316.0,29.0
12793.0,4170.0,6367.0,2256.0,30.0
12786.0,4229.0,6351.0,2206.0,31.0
12784.0,4303.0,6350.0,2131.0,32.0
12776.0,4364.0,6349.0,2063.0,33.0
12767.0,4434.0,6347.0,1986.0,34.0
12762.0,4499.0,6347.0,1916.0,35.0
12750.0,4577.0,6345.0,1828.0,36.0
12742.0,4651.0,6342.0,1749.0,37.0
12735.0,4713.0,6337.0,1685.0,38.0
12727.0,4775.0,6337.0,1615.0,39.0
12713.0,4845.0,6335.0,1533.0,40.0
12696.0,4912.0,6335.0,1449.0,41.0
12689.0,4993.0,6330.0,1366.0,42.0
12677.0,5073.0,6329.0,1275.0,43.0
12665.0,5153.0,6329.0,1183.0,44.0
12650.0,5210.0,6326.0,1114.0,45.0
12633.0,5268.0,6325.0,1040.0,46.0
12609.0,5336.0,6322.0,951.0,47.0
12585.0,5385.0,6318.0,882.0,48.0
12567.0,5444.0,6318.0,805.0,49.0
12598.0,5541.0,6317.0,740.0,50.0
12579.0,5602.0,6309.0,668.0,51.0
12555.0,5664.0,6301.0,590.0,52.0
12535.0,5733.0,6299.0,503.0,53.0
12512.0,5797.0,6297.0,418.0,54.0
12481.0,5835.0,6293.0,353.0,55.0
12457.0,5866.0,6289.0,302.0,56.0
12435.0,5909.0,6289.0,237.0,57.0
12415.0,5966.0,6289.0,160.0,58.0
12391.0,6015.0,6281.0,95.0,59.0
12376.0,6066.0,6273.0,37.0,60.0
12357.0,6092.0,6265.0,0.0,61.0
12327.0,6062.0,6265.0,0.0,62.0
12310.0,6049.0,6261.0,0.0,63.0
12298.0,6039.0,6259.0,0.0,64.0
12285.0,6026.0,6259.0,0.0,65.0
12259.0,6003.0,6256.0,0.0,66.0
12232.0,5976.0,6256.0,0.0,67.0
12216.0,5967.0,6249.0,0.0,68.0
12193.0,5948.0,6245.0,0.0,69.0
12175.0,5930.0,6245.0,0.0,70.0
12149.0,5911.0,6238.0,0.0,71.0
12124.0,5893.0,6231.0,0.0,72.0
12103.0,5878.0,6225.0,0.0,73.0
12157.0,5932.0,6225.0,0.0,74.0
12139.0,5919.0,6220.0,0.0,75.0
12120.0,5903.0,6217.0,0.0,76.0
12107.0,5891.0,6216.0,0.0,77.0
12092.0,5876.0,6216.0,0.0,78.0
12080.0,5868.0,6212.0,0.0,79.0
12063.0,5852.0,6211.0,0.0,80.0
12042.0,5831.0,6211.0,0.0,81.0
12026.0,5820.0,6206.0,0.0,82.0
12011.0,5804.0,6207.0,0.0,83.0
12000.0,5797.0,6203.0,0.0,84.0
11985.0,5785.0,6200.0,0.0,85.0
11969.0,5770.0,6199.0,0.0,86.0
11949.0,5751.0,6198.0,0.0,87.0
11929.0,5731.0,6198.0,0.0,88.0
11910.0,5715.0,6195.0,0.0,89.0
11894.0,5702.0,6192.0,0.0,90.0
11881.0,5689.0,6192.0,0.0,91.0
11867.0,5678.0,6189.0,0.0,92.0
11851.0,5664.0,6187.0,0.0,93.0
11837.0,5649.0,6188.0,0.0,94.0
11818.0,5637.0,6181.0,0.0,95.0
11799.0,5618.0,6181.0,0.0,96.0
11788.0,5610.0,6178.0,0.0,97.0
11877.0,5699.0,6178.0,0.0,98.0
11862.0,5684.0,6178.0,0.0,99.0
11850.0,5673.0,6177.0,0.0,100.0
11837.0,5664.0,6173.0,0.0,101.0
11824.0,5652.0,6172.0,0.0,102.0
11809.0,5637.0,6172.0,0.0,103.0
11795.0,5628.0,6167.0,0.0,104.0
11777.0,5612.0,6165.0,0.0,105.0
11768.0,5607.0,6161.0,0.0,106.0
11759.0,5603.0,6156.0,0.0,107.0
11749.0,5593.0,6156.0,0.0,108.0
11737.0,5586.0,6151.0,0.0,109.0
11725.0,5574.0,6151.0,0.0,110.0
11708.0,5557.0,6151.0,0.0,111.0
11693.0,5549.0,6144.0,0.0,112.0
11678.0,5532.0,6146.0,0.0,113.0
11669.0,5528.0,6141.0,0.0,114.0
11656.0,5516.0,6140.0,0.0,115.0
11649.0,5509.0,6140.0,0.0,116.0
11636.0,5496.0,6140.0,0.0,117.0
11627.0,5489.0,6138.0,0.0,118.0
11617.0,5479.0,6138.0,0.0,119.0
11604.0,5469.0,6135.0,0.0,120.0
11594.0,5458.0,6136.0,0.0,121.0
11674.0,5537.0,6137.0,0.0,122.0
11662.0,5523.0,6139.0,0.0,123.0
11651.0,5514.0,6137.0,0.0,124.0
11644.0,5505.0,6139.0,0.0,125.0
11634.0,5491.0,6143.0,0.0,126.0
11628.0,5480.0,6148.0,0.0,127.0
11621.0,5469.0,6152.0,0.0,128.0
11606.0,5455.0,6151.0,0.0,129.0
11597.0,5443.0,6154.0,0.0,130.0
11586.0,5427.0,6159.0,0.0,131.0
11579.0,5420.0,6159.0,0.0,132.0
11571.0,5406.0,6165.0,0.0,133.0
11555.0,5391.0,6164.0,0.0,134.0
11540.0,5372.0,6168.0,0.0,135.0
11534.0,5369.0,6165.0,0.0,136.0
11525.0,5357.0,6168.0,0.0,137.0
11520.0,5347.0,6173.0,0.0,138.0
11511.0,5333.0,6178.0,0.0,139.0
11508.0,5327.0,6181.0,0.0,140.0
11502.0,5316.0,6186.0,0.0,141.0
11497.0,5306.0,6191.0,0.0,142.0
11489.0,5297.0,6192.0,0.0,143.0
11483.0,5287.0,6196.0,0.0,144.0
11481.0,5282.0,6199.0,0.0,145.0
11567.0,5365.0,6202.0,0.0,146.0
11564.0,5355.0,6209.0,0.0,147.0
11559.0,5344.0,6215.0,0.0,148.0
11556.0,5331.0,6225.0,0.0,149.0
11551.0,5318.0,6233.0,0.0,150.0
11545.0,5308.0,6237.0,0.0,151.0
11543.0,5299.0,6244.0,0.0,152.0
11533.0,5283.0,6250.0,0.0,153.0
11526.0,5268.0,6258.0,0.0,154.0
11520.0,5257.0,6263.0,0.0,155.0
11515.0,5250.0,6265.0,0.0,156.0
11508.0,5238.0,6270.0,0.0,157.0
11506.0,5220.0,6286.0,0.0,158.0
11494.0,5204.0,6290.0,0.0,159.0
11489.0,5189.0,6300.0,0.0,160.0
11480.0,5172.0,6308.0,0.0,161.0
11475.0,5161.0,6314.0,0.0,162.0
11469.0,5150.0,6319.0,0.0,163.0
11463.0,5136.0,6327.0,0.0,164.0
11461.0,5123.0,6338.0,0.0,165.0
11456.0,5112.0,6344.0,0.0,166.0
11454.0,5099.0,6355.0,0.0,167.0
11446.0,5079.0,6367.0,0.0,168.0
11439.0,5066.0,6373.0,0.0,169.0
11508.0,5128.0,6380.0,0.0,170.0
11507.0,5116.0,6391.0,0.0,171.0
11499.0,5098.0,6401.0,0.0,172.0
11491.0,5081.0,6410.0,0.0,173.0
11491.0,5074.0,6417.0,0.0,174.0
11486.0,5061.0,6425.0,0.0,175.0
11484.0,5054.0,6430.0,0.0,176.0
11481.0,5043.0,6438.0,0.0,177.0
11477.0,5023.0,6454.0,0.0,178.0
11471.0,5004.0,6467.0,0.0,179.0
11466.0,4987.0,6479.0,0.0,180.0
11461.0,4971.0,6490.0,0.0,181.0
11461.0,4955.0,6506.0,0.0,182.0
11457.0,4935.0,6522.0,0.0,183.0
11453.0,4919.0,6534.0,0.0,184.0
11450.0,4905.0,6545.0,0.0,185.0
11446.0,4891.0,6555.0,0.0,186.0
11441.0,4873.0,6568.0,0.0,187.0
11438.0,4850.0,6588.0,0.0,188.0
11434.0,4831.0,6603.0,0.0,189.0
11430.0,4812.0,6618.0,0.0,190.0
11423.0,4796.0,6627.0,0.0,191.0
11419.0,4776.0,6643.0,0.0,192.0
11416.0,4761.0,6655.0,0.0,193.0
11483.0,4813.0,6670.0,0.0,194.0
11482.0,4800.0,6682.0,0.0,195.0
11477.0,4781.0,6696.0,0.0,196.0
11473.0,4764.0,6709.0,0.0,197.0
11470.0,4750.0,6720.0,0.0,198.0
11466.0,4730.0,6736.0,0.0,199.0
11466.0,4714.0,6752.0,0.0,200.0
11465.0,4703.0,6762.0,0.0,201.0
11463.0,4682.0,6781.0,0.0,202.0
11459.0,4671.0,6788.0,0.0,203.0
11455.0,4652.0,6803.0,0.0,204.0
11453.0,4640.0,6813.0,0.0,205.0
11452.0,4620.0,6832.0,0.0,206.0
11451.0,4602.0,6849.0,0.0,207.0
11450.0,4579.0,6871.0,0.0,208.0
11450.0,4559.0,6891.0,0.0,209.0
11448.0,4536.0,6912.0,0.0,210.0
11446.0,4516.0,6930.0,0.0,211.0
11445.0,4499.0,6946.0,0.0,212.0
11444.0,4474.0,6970.0,0.0,213.0
11444.0,4454.0,6990.0,0.0,214.0
11443.0,4443.0,7000.0,0.0,215.0
11441.0,4418.0,7023.0,0.0,216.0
11437.0,4400.0,7037.0,0.0,217.0
11522.0,4471.0,7051.0,0.0,218.0
11520.0,4453.0,7067.0,0.0,219.0
11518.0,4430.0,7088.0,0.0,220.0
11516.0,4412.0,7104.0,0.0,221.0
11516.0,4394.0,7122.0,0.0,222.0
11515.0,4374.0,7141.0,0.0,223.0
11513.0,4356.0,7157.0,0.0,224.0
11511.0,4337.0,7174.0,0.0,225.0
11511.0,4322.0,7189.0,0.0,226.0
11510.0,4301.0,7209.0,0.0,227.0
11509.0,4281.0,7228.0,0.0,228.0
11507.0,4257.0,7250.0,0.0,229.0
11504.0,4230.0,7274.0,0.0,230.0
11503.0,4212.0,7291.0,0.0,231.0
11501.0,4189.0,7312.0,0.0,232.0
11500.0,4162.0,7338.0,0.0,233.0
11498.0,4145.0,7353.0,0.0,234.0
11498.0,4131.0,7367.0,0.0,235.0
11498.0,4110.0,7388.0,0.0,236.0
11498.0,4083.0,7415.0,0.0,237.0
11499.0,4064.0,7435.0,0.0,238.0
11500.0,4043.0,7457.0,0.0,239.0
11501.0,4027.0,7474.0,0.0,240.0
11505.0,4013.0,7492.0,0.0,241.0
11623.0,4124.0,7499.0,0.0,242.0
11626.0,4109.0,7517.0,0.0,243.0
11628.0,4089.0,7539.0,0.0,244.0
11628.0,4076.0,7552.0,0.0,245.0
11626.0,4057.0,7569.0,0.0,246.0
11627.0,4040.0,7587.0,0.0,247.0
11629.0,4030.0,7599.0,0.0,248.0
11631.0,4011.0,7620.0,0.0,249.0
11631.0,3996.0,7635.0,0.0,250.0
11636.0,3977.0,7659.0,0.0,251.0
11638.0,3958.0,7680.0,0.0,252.0
11639.0,3937.0,7702.0,0.0,253.0
11643.0,3919.0,7724.0,0.0,254.0
11651.0,3911.0,7740.0,0.0,255.0
11655.0,3929.0,7726.0,0.0,256.0
11657.0,3913.0,7744.0,0.0,257.0
11662.0,3902.0,7760.0,0.0,258.0
11666.0,3897.0,7769.0,0.0,259.0
11670.0,3883.0,7787.0,0.0,260.0
11672.0,3872.0,7800.0,0.0,261.0
11675.0,3862.0,7813.0,0.0,262.0
11677.0,3843.0,7834.0,0.0,263.0
11686.0,3835.0,7851.0,0.0,264.0
11688.0,3820.0,7868.0,0.0,265.0
11799.0,3914.0,7885.0,0.0,266.0
11805.0,3910.0,7895.0,0.0,267.0
11807.0,3893.0,7914.0,0.0,268.0
11817.0,3902.0,7915.0,0.0,269.0
11820.0,3883.0,7937.0,0.0,270.0
11827.0,3888.0,7939.0,0.0,271.0
11832.0,3868.0,7964.0,0.0,272.0
11834.0,3856.0,7978.0,0.0,273.0
11839.0,3846.0,7993.0,0.0,274.0
11846.0,3856.0,7990.0,0.0,275.0
11847.0,3846.0,8001.0,0.0,276.0
11851.0,3828.0,8023.0,0.0,277.0
11859.0,3830.0,8029.0,0.0,278.0
11862.0,3814.0,8048.0,0.0,279.0
11872.0,3802.0,8070.0,0.0,280.0
11874.0,3821.0,8053.0,0.0,281.0
11879.0,3819.0,8060.0,0.0,282.0
11881.0,3809.0,8072.0,0.0,283.0
11887.0,3807.0,8080.0,0.0,284.0
11889.0,3794.0,8095.0,0.0,285.0
11893.0,3784.0,8109.0,0.0,286.0
11901.0,3787.0,8114.0,0.0,287.0
11905.0,3773.0,8132.0,0.0,288.0
11911.0,3771.0,8140.0,0.0,289.0
12040.0,3880.0,8160.0,0.0,290.0
12043.0,3870.0,8173.0,0.0,291.0
12051.0,3877.0,8174.0,0.0,292.0
12058.0,3873.0,8185.0,0.0,293.0
12061.0,3862.0,8199.0,0.0,294.0
12064.0,3848.0,8216.0,0.0,295.0
12068.0,3843.0,8225.0,0.0,296.0
12074.0,3843.0,8231.0,0.0,297.0
12078.0,3827.0,8251.0,0.0,298.0
12086.0,3827.0,8259.0,0.0,299.0
12087.0,3813.0,8274.0,0.0,300.0
12095.0,3826.0,8269.0,0.0,301.0
12097.0,3814.0,8283.0,0.0,302.0
12104.0,3808.0,8296.0,0.0,303.0
12110.0,3796.0,8314.0,0.0,304.0
12115.0,3793.0,8322.0,0.0,305.0
12116.0,3779.0,8337.0,0.0,306.0
12120.0,3786.0,8334.0,0.0,307.0
12122.0,3768.0,8354.0,0.0,308.0
12126.0,3755.0,8371.0,0.0,309.0
12131.0,3759.0,8372.0,0.0,310.0
12139.0,3750.0,8389.0,0.0,311.0
12145.0,3771.0,8374.0,0.0,312.0
12150.0,3771.0,8379.0,0.0,313.0
12300.0,3910.0,8390.0,0.0,314.0
