"total size","ECM","necrosis","tick","fiber"
12804.0,3621.0,0.0,1.0,9183.0
12821.0,3638.0,955.0,2.0,8228.0
12821.0,3638.0,955.0,3.0,8228.0
12821.0,3662.0,931.0,4.0,8228.0
12821.0,3678.0,915.0,5.0,8228.0
12820.0,3707.0,886.0,6.0,8227.0
12820.0,3736.0,857.0,7.0,8227.0
12818.0,3763.0,833.0,8.0,8222.0
12816.0,3795.0,799.0,9.0,8222.0
12813.0,3831.0,772.0,10.0,8210.0
12809.0,3859.0,746.0,11.0,8204.0
12805.0,3894.0,712.0,12.0,8199.0
12802.0,3927.0,679.0,13.0,8196.0
12799.0,3963.0,652.0,14.0,8184.0
12798.0,4010.0,615.0,15.0,8173.0
12796.0,4054.0,584.0,16.0,8158.0
12794.0,4077.0,563.0,17.0,8154.0
12787.0,4122.0,521.0,18.0,8144.0
12779.0,4155.0,499.0,19.0,8125.0
12774.0,4211.0,449.0,20.0,8114.0
12769.0,4236.0,430.0,21.0,8103.0
12762.0,4276.0,396.0,22.0,8090.0
12758.0,4308.0,369.0,23.0,8081.0
12754.0,4348.0,336.0,24.0,8070.0
12749.0,4374.0,314.0,25.0,8061.0
12777.0,4443.0,284.0,26.0,8050.0
12772.0,4475.0,261.0,27.0,8036.0
12767.0,4500.0,244.0,28.0,8023.0
12758.0,4548.0,204.0,29.0,8006.0
12757.0,4571.0,189.0,30.0,7997.0
12752.0,4605.0,162.0,31.0,7985.0
12741.0,4622.0,142.0,32.0,7977.0
12734.0,4655.0,115.0,33.0,7964.0
12729.0,4678.0,97.0,34.0,7954.0
12719.0,4708.0,70.0,35.0,7941.0
12711.0,4730.0,54.0,36.0,7927.0
12706.0,4752.0,36.0,37.0,7918.0
12702.0,4767.0,27.0,38.0,7908.0
12696.0,4781.0,14.0,39.0,7901.0
12690.0,4783.0,12.0,40.0,7895.0
12682.0,4786.0,9.0,41.0,7887.0
12672.0,4783.0,7.0,42.0,7882.0
12668.0,4785.0,5.0,43.0,7878.0
12665.0,4791.0,2.0,44.0,7872.0
12658.0,4785.0,2.0,45.0,7871.0
12652.0,4784.0,0.0,46.0,7868.0
12645.0,4778.0,0.0,47.0,7867.0
12641.0,4774.0,0.0,48.0,7867.0
12638.0,4771.0,0.0,49.0,7867.0
12680.0,4813.0,0.0,50.0,7867.0
12676.0,4809.0,0.0,51.0,7867.0
12673.0,4806.0,0.0,52.0,7867.0
12671.0,4809.0,0.0,53.0,7862.0
12667.0,4805.0,0.0,54.0,7862.0
12659.0,4798.0,0.0,55.0,7861.0
12654.0,4793.0,0.0,56.0,7861.0
12650.0,4789.0,0.0,57.0,7861.0
12646.0,4789.0,0.0,58.0,7857.0
12640.0,4783.0,0.0,59.0,7857.0
12638.0,4781.0,0.0,60.0,7857.0
12637.0,4780.0,0.0,61.0,7857.0
12635.0,4778.0,0.0,62.0,7857.0
12631.0,4774.0,0.0,63.0,7857.0
12629.0,4772.0,0.0,64.0,7857.0
12625.0,4768.0,0.0,65.0,7857.0
12622.0,4767.0,0.0,66.0,7855.0
12618.0,4763.0,0.0,67.0,7855.0
12616.0,4762.0,0.0,68.0,7854.0
12614.0,4760.0,0.0,69.0,7854.0
12609.0,4755.0,0.0,70.0,7854.0
12607.0,4753.0,0.0,71.0,7854.0
12602.0,4752.0,0.0,72.0,7850.0
12598.0,4748.0,0.0,73.0,7850.0
12638.0,4791.0,0.0,74.0,7847.0
12635.0,4788.0,0.0,75.0,7847.0
12629.0,4782.0,0.0,76.0,7847.0
12624.0,4779.0,0.0,77.0,7845.0
12622.0,4777.0,0.0,78.0,7845.0
12620.0,4776.0,0.0,79.0,7844.0
12619.0,4775.0,0.0,80.0,7844.0
12617.0,4775.0,0.0,81.0,7842.0
12612.0,4770.0,0.0,82.0,7842.0
12611.0,4769.0,0.0,83.0,7842.0
12610.0,4768.0,0.0,84.0,7842.0
12609.0,4768.0,0.0,85.0,7841.0
12608.0,4766.0,0.0,86.0,7842.0
