"total size","ECM","necrosis","tick","fiber"
12804.0,3621.0,0.0,1.0,9183.0
12820.0,3643.0,3238.0,2.0,5939.0
12820.0,3650.0,3231.0,3.0,5939.0
12820.0,3653.0,3228.0,4.0,5939.0
12820.0,3670.0,3211.0,5.0,5939.0
12820.0,3695.0,3186.0,6.0,5939.0
12820.0,3716.0,3166.0,7.0,5938.0
12819.0,3742.0,3140.0,8.0,5937.0
12819.0,3779.0,3106.0,9.0,5934.0
12815.0,3828.0,3055.0,10.0,5932.0
12815.0,3880.0,3008.0,11.0,5927.0
12812.0,3943.0,2948.0,12.0,5921.0
12810.0,3983.0,2910.0,13.0,5917.0
12808.0,4059.0,2841.0,14.0,5908.0
12806.0,4129.0,2778.0,15.0,5899.0
12804.0,4184.0,2728.0,16.0,5892.0
12800.0,4284.0,2639.0,17.0,5877.0
12797.0,4360.0,2565.0,18.0,5872.0
12790.0,4431.0,2498.0,19.0,5861.0
12787.0,4504.0,2426.0,20.0,5857.0
12781.0,4572.0,2361.0,21.0,5848.0
12767.0,4647.0,2282.0,22.0,5838.0
12761.0,4718.0,2220.0,23.0,5823.0
12752.0,4809.0,2133.0,24.0,5810.0
12746.0,4897.0,2047.0,25.0,5802.0
12775.0,5041.0,1945.0,26.0,5789.0
12764.0,5105.0,1880.0,27.0,5779.0
12754.0,5198.0,1789.0,28.0,5767.0
12737.0,5237.0,1747.0,29.0,5753.0
12721.0,5324.0,1655.0,30.0,5742.0
12715.0,5399.0,1589.0,31.0,5727.0
12704.0,5498.0,1487.0,32.0,5719.0
12691.0,5551.0,1433.0,33.0,5707.0
12679.0,5648.0,1338.0,34.0,5693.0
12664.0,5696.0,1292.0,35.0,5676.0
12646.0,5757.0,1226.0,36.0,5663.0
12635.0,5824.0,1157.0,37.0,5654.0
12614.0,5903.0,1074.0,38.0,5637.0
12604.0,5982.0,1002.0,39.0,5620.0
12588.0,6041.0,943.0,40.0,5604.0
12570.0,6091.0,885.0,41.0,5594.0
12558.0,6136.0,837.0,42.0,5585.0
12537.0,6177.0,788.0,43.0,5572.0
12527.0,6230.0,742.0,44.0,5555.0
12512.0,6289.0,681.0,45.0,5542.0
12493.0,6345.0,618.0,46.0,5530.0
12470.0,6386.0,571.0,47.0,5513.0
12452.0,6426.0,528.0,48.0,5498.0
12431.0,6459.0,493.0,49.0,5479.0
12463.0,6554.0,438.0,50.0,5471.0
12441.0,6574.0,407.0,51.0,5460.0
