"total size","ECM","necrosis","tick","fiber"
12804.0,3621.0,0.0,1.0,9183.0
12821.0,3638.0,102.0,2.0,9081.0
12821.0,3638.0,102.0,3.0,9081.0
12821.0,3650.0,90.0,4.0,9081.0
12820.0,3668.0,71.0,5.0,9081.0
12820.0,3691.0,51.0,6.0,9078.0
12819.0,3705.0,36.0,7.0,9078.0
12819.0,3712.0,30.0,8.0,9077.0
12819.0,3729.0,14.0,9.0,9076.0
12817.0,3738.0,6.0,10.0,9073.0
12816.0,3744.0,1.0,11.0,9071.0
12812.0,3741.0,0.0,12.0,9071.0
12811.0,3740.0,0.0,13.0,9071.0
12809.0,3739.0,0.0,14.0,9070.0
12808.0,3738.0,0.0,15.0,9070.0
12808.0,3738.0,0.0,16.0,9070.0
12808.0,3738.0,0.0,17.0,9070.0
12808.0,3738.0,0.0,18.0,9070.0
12806.0,3736.0,0.0,19.0,9070.0
12806.0,3737.0,0.0,20.0,9069.0
12806.0,3737.0,0.0,21.0,9069.0
12805.0,3736.0,0.0,22.0,9069.0
12804.0,3737.0,0.0,23.0,9067.0
12803.0,3736.0,0.0,24.0,9067.0
12803.0,3736.0,0.0,25.0,9067.0
12817.0,3752.0,0.0,26.0,9065.0
12814.0,3750.0,0.0,27.0,9064.0
12813.0,3749.0,0.0,28.0,9064.0
12813.0,3749.0,0.0,29.0,9064.0
12813.0,3749.0,0.0,30.0,9064.0
12812.0,3748.0,0.0,31.0,9064.0
12812.0,3751.0,307.0,32.0,8754.0
12812.0,3758.0,301.0,33.0,8753.0
12812.0,3785.0,277.0,34.0,8750.0
12810.0,3809.0,253.0,35.0,8748.0
12809.0,3845.0,218.0,36.0,8746.0
